Beverage_category,Beverage,Beverage_prep,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Sale Price,Profit,Country
Coffee,Brewed Coffee,Short,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0%,0%,0%,0%,175,301,95,USA
Coffee,Brewed Coffee,Tall,4,0.1,0.0,0.0,0,10,0,0,0,0.5,0%,0%,0%,0%,260,454,106,Germany
Coffee,Brewed Coffee,Grande,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0%,0%,0%,0%,330,356,93,Australia
Coffee,Brewed Coffee,Venti,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0%,0%,2%,0%,410,452,151,Canada
Classic Espresso Drinks,Caffè Latte,Short Nonfat Milk,70,0.1,0.1,0.0,5,75,10,0,9,6.0,10%,0%,20%,0%,75,399,125,UAE
Classic Espresso Drinks,Caffè Latte,2% Milk,100,3.5,2.0,0.1,15,85,10,0,9,6.0,10%,0%,20%,0%,75,338,105,Germany
Classic Espresso Drinks,Caffè Latte,Soymilk,70,2.5,0.4,0.0,0,65,6,1,4,5.0,6%,0%,20%,8%,75,314,95,Germany
Classic Espresso Drinks,Caffè Latte,Tall Nonfat Milk,100,0.2,0.2,0.0,5,120,15,0,14,10.0,15%,0%,30%,0%,75,240,57,India
Classic Espresso Drinks,Caffè Latte,2% Milk,150,6,3.0,0.2,25,135,15,0,14,10.0,15%,0%,30%,0%,75,229,80,France
Classic Espresso Drinks,Caffè Latte,Soymilk,110,4.5,0.5,0.0,0,105,10,1,6,8.0,10%,0%,30%,15%,75,265,66,Canada
Classic Espresso Drinks,Caffè Latte,Grande Nonfat Milk,130,0.3,0.2,0.0,5,150,19,0,18,13.0,20%,0%,40%,0%,150,251,87,Germany
Classic Espresso Drinks,Caffè Latte,2% Milk,190,7,3.5,0.2,30,170,19,0,17,12.0,20%,2%,40%,0%,150,248,71,Australia
Classic Espresso Drinks,Caffè Latte,Soymilk,150,5,0.5,0.0,0,130,13,1,8,10.0,15%,0%,40%,15%,150,343,115,France
Classic Espresso Drinks,Caffè Latte,Venti Nonfat Milk,170,0.4,0.3,0.0,10,190,25,0,23,16.0,30%,0%,50%,0%,150,290,95,France
Classic Espresso Drinks,Caffè Latte,2% Milk,240,9,4.5,0.3,35,220,24,0,22,16.0,25%,2%,50%,0%,150,365,101,France
Classic Espresso Drinks,Caffè Latte,Soymilk,190,7,1.0,0.0,0,170,16,2,11,13.0,20%,0%,50%,25%,150,227,75,UAE
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short Nonfat Milk,110,1.5,1.0,0.0,5,60,21,1,17,7.0,8%,0%,15%,10%,85,310,85,France
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,130,4,2.0,0.1,10,70,21,1,17,6.0,8%,0%,15%,10%,85,342,89,UAE
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,110,3.5,1.0,0.0,0,55,19,2,13,6.0,6%,0%,15%,20%,85,309,96,Australia
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall Nonfat Milk,170,2,1.0,0.0,5,100,32,1,27,10.0,15%,0%,25%,20%,95,361,110,France
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,200,6,3.5,0.1,20,115,32,1,26,10.0,15%,0%,25%,20%,95,267,67,Japan
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,180,5,1.5,0.0,0,85,28,2,20,9.0,10%,0%,25%,30%,95,373,92,UAE
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande Nonfat Milk,220,2.5,1.5,0.0,5,125,43,2,34,13.0,20%,0%,35%,25%,175,293,82,USA
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,260,8,4.5,0.2,25,140,42,2,34,13.0,15%,2%,35%,25%,175,228,75,France
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,230,7,2.0,0.0,0,105,37,3,26,11.0,10%,0%,35%,40%,175,223,69,India
